Cluster,N_mentions,Mean_year,Median_year,Std_dev,Earliest,Latest,N_languages,All_languages
0,276198,1957.781004931245,1967.0,53.87517310949658,1700,2025,67,"Assamese, Avaric, Balinese, Banjar, Batak Toba, Bavarian, Bislama, Burmese, Central Kurdish, Cheyenne, Chuvash, Dagbani, Dinka, Dzongkha, Eastern Mari, Fanti, Farefare, Goan Konkani, Hawaiian, Hebrew, Iban, Igbo, Ingush, Javanese, Kalaallisut, Kashmiri, Khmer, Komi, Kurdish, Lao, Lingala, Low German, Lower Sorbian, Manipuri, Mon, Northern Sami, Novial, Nyanja, Obolo, Oriya (macrolanguage), Oromo, Pa'O Karen, Ruthenian, Sanskrit, Santali, Saraiki, Shan, Shona, Somali, South Ndebele, Southern Altai, Southern Dagaare, Standard Moroccan Tamazight, Sundanese, Tajik, Tibetan, Tok Pisin, Tulu, Tumbuka, Tyap, Venda, West Coast Bajau, Wolof, Yiddish, cbk-zam, eml, map-bms"
1,51243,1945.3631910699999,1956.0,64.18788949406833,1700,2025,44,"Abkhazian, Angika, Atayal, Awadhi, Batak Mandailing, Bishnupriya, Chamorro, Egyptian Arabic, Fijian, Fon, Friulian, Gagauz, Ganda, Ghanaian Pidgin English, Gorontalo, Interlingue, Inuktitut, Inupiaq, Jamaican Creole English, Komering, Komi-Permyak, Kusaal, Ladin, Ligurian, Livvi, Lojban, Mirandese, Moksha, Mossi, Narom, Pali, Pedi, Sediq, Southern Sotho, Sranan Tongo, Sylheti, Tetum, Tsonga, Tswana, Twi, Veps, Vlax Romani, Wayuu, roa-rup"
2,668412,1943.060939959187,1956.0,63.924970774787546,1700,2025,59,"Achinese, Adyghe, Arpitan, Asturian, Breton, Catalan, Central Kanuri, Church Slavic, Corsican, Fiji Hindi, Galician, Gan Chinese, Gothic, Guarani, Haitian, Hakka Chinese, Hindi, Ido, Interlingua (International Auxiliary Language Association), Irish, Kabardian, Kabyle, Kadazan Dusun, Kannada, Karachay-Balkar, Kongo, Latin, Limburgan, Lingua Franca Nova, Macedonian, Maori, Moroccan Arabic, Neapolitan, Newari, Norwegian Nynorsk, Occitan (post 1500), Old English (ca. 450-1100), Ossetian, Pushto, Romansh, Russia Buriat, Saterfriesisch, Scots, Scottish Gaelic, Sicilian, Sindhi, Slovenian, Turkmen, Venetian, Vlaams, Walloon, Waray (Philippines), Western Frisian, Wu Chinese, Yoruba, be-tarask, bh, nah, zh-min-nan"
3,4962872,1949.5864088374635,1958.0,57.86029045818069,1700,2025,82,"Albanian, Arabic, Aragonese, Armenian, Aymara, Azerbaijani, Bashkir, Basque, Belarusian, Bosnian, Bulgarian, Chinese, Cornish, Crimean Tatar, Croatian, Czech, Danish, Dimli (individual language), Dutch, Esperanto, Estonian, Finnish, Georgian, Hungarian, Iloko, Italian, Japanese, Kara-Kalpak, Kazakh, Kirghiz, Korean, Ladino, Lak, Latgalian, Latvian, Lithuanian, Madurese, Malagasy, Malayalam, Manx, Min Dong Chinese, Mingrelian, Modern Greek (1453), Mongolian, N'Ko, Nias, Northern Frisian, Official Aramaic(700-300 BCE), Pangasinan, Pfaelzisch, Polish, Pontic, Portuguese, Quechua, Romanian, Russian, Rusyn, Serbian, Serbo-Croatian, Silesian, Slovak, South Azerbaijani, Spanish, Swedish, Tachelhit, Tagalog, Talysh, Tatar, Thai, Turkish, Tuvinian, Uighur, Ukrainian, Urdu, Uzbek, Vietnamese, Western Armenian, Western Mari, Yakut, bat-smg, be-x-old, zh-classical"
4,2461918,1953.4018074525634,1966.0,60.06170694043628,1700,2025,71,"Afrikaans, Amharic, Bambara, Bengali, Betawi, Cebuano, Central Bikol, Chechen, Dhivehi, Dotyali, English, Erzya, Ewe, Faroese, French, Fulah, German, Gilaki, Gujarati, Gun, Hausa, Icelandic, Inari Sami, Indonesian, Kalmyk, Kashubian, Kikuyu, Kinyarwanda, Kotava, Lezghian, Lombard, Luxembourgish, Maithili, Malay (macrolanguage), Maltese, Marathi, Mazanderani, Minangkabau, Nepali (macrolanguage), Nigerian Pidgin, Nupe-Nupe-Tako, Paiwan, Pampanga, Panjabi, Papiamento, Pennsylvania German, Persian, Picard, Piemontese, Rundi, Sakizaya, Sardinian, Sinhala, Swahili (macrolanguage), Tahitian, Tamil, Telugu, Tigrinya, Tosk Albanian, Udmurt, Upper Sorbian, Welsh, Xhosa, Zeeuws, Zhuang, Zulu, fiu-vro, nds-nl, roa-tara, simple, zh-yue"
