Cluster,N_mentions,Mean_year,Median_year,Std_dev,Earliest,Latest,N_languages,All_languages
0,12391,2005.710838511823,2013.0,25.32134863871988,1705,2025,28,"Amis, Atikamekw, Bambara, Batak Toba, Buginese, Dagbani, Dotyali, Fon, Ghanaian Pidgin English, Inupiaq, Kikuyu, Komi, Lak, Lao, Manipuri, Navajo, Pedi, Rundi, Russia Buriat, Sango, Shan, South Ndebele, Sylheti, Tachelhit, Tibetan, Tulu, Udmurt, West Coast Bajau"
1,5738803,1986.525660490524,1997.0,33.30464395307001,1700,2025,69,"Armenian, Asturian, Avaric, Bavarian, Chechen, Dhivehi, Dutch, Estonian, Ewe, Fanti, Fiji Hindi, Finnish, Fulah, Galician, Ganda, Georgian, Guarani, Gujarati, Hausa, Hawaiian, Hebrew, Igala, Igbo, Ingush, Jamaican Creole English, Kazakh, Kinyarwanda, Komi-Permyak, Kongo, Korean, Latgalian, Lezghian, Macedonian, Madurese, Moksha, Mongolian, Nigerian Pidgin, Norwegian Nynorsk, Oromo, Ossetian, Pali, Pampanga, Pangasinan, Polish, Romanian, Russian, Serbian, Slovak, Southern Dagaare, Southern Sotho, Sranan Tongo, Sundanese, Swati, Tahitian, Telugu, Tigrinya, Tok Pisin, Tosk Albanian, Turkish, Tuvinian, Tyap, Ukrainian, Vlaams, Wayuu, Wolof, Xhosa, bat-smg, roa-rup, simple"
2,72582,1969.2490286847978,1976.0,41.728233545177176,1700,2025,55,"Abkhazian, Achinese, Adyghe, Arpitan, Atayal, Awadhi, Aymara, Batak Mandailing, Central Kanuri, Cherokee, Church Slavic, Chuvash, Crimean Tatar, Dimli (individual language), Friulian, Gilaki, Gun, Hakka Chinese, Ido, Iloko, Inari Sami, Ligurian, Lingua Franca Nova, Livvi, Lower Sorbian, Malagasy, Min Dong Chinese, Mirandese, Mossi, Newari, Nias, Northern Sami, Occitan (post 1500), Official Aramaic (700-300 BCE), Paiwan, Pennsylvania German, Quechua, Romansh, Ruthenian, Sardinian, Saterfriesisch, Scottish Gaelic, Sediq, Sicilian, Southern Altai, Talysh, Tetum, Upper Sorbian, Vlax Romani, Walloon, Waray (Philippines), Yiddish, eml, nah, roa-tara"
3,7386415,1988.4672410093394,2001.0,35.05887673200319,1700,2025,74,"Amharic, Assamese, Balinese, Banjar, Belarusian, Bengali, Betawi, Bishnupriya, Bislama, Burmese, Cebuano, Chamorro, Cheyenne, Chinese, Dzongkha, English, Erzya, Faroese, Gagauz, Gan Chinese, Gothic, Hindi, Hungarian, Iban, Indonesian, Interlingue, Italian, Japanese, Kabyle, Kadazan Dusun, Kalaallisut, Kannada, Kara-Kalpak, Kashmiri, Kirghiz, Kurdish, Kusaal, Ladin, Limburgan, Lingala, Malay (macrolanguage), Malayalam, Marathi, Minangkabau, Mingrelian, Mon, Moroccan Arabic, Nepali (macrolanguage), Novial, Nyanja, Oriya (macrolanguage), Panjabi, Picard, Portuguese, Samoan, Sanskrit, Santali, Silesian, Sinhala, Somali, Spanish, Thai, Tumbuka, Twi, Uighur, Uzbek, Venda, Veps, Vietnamese, Western Armenian, Zulu, bh, fiu-vro, map-bms"
4,5280874,1982.1181842248081,1994.0,36.77198971278801,1700,2025,85,"Afrikaans, Albanian, Arabic, Aragonese, Azerbaijani, Bashkir, Basque, Bosnian, Breton, Bulgarian, Catalan, Central Bikol, Central Kurdish, Corsican, Croatian, Czech, Danish, Dinka, Eastern Mari, Egyptian Arabic, Esperanto, Extremaduran, Farefare, Fijian, French, German, Goan Konkani, Gorontalo, Haitian, Icelandic, Interlingua (International Auxiliary Language Association), Irish, Javanese, Khmer, Ladino, Latin, Latvian, Lithuanian, Lojban, Lombard, Low German, Luxembourgish, Maithili, Maltese, Manx, Maori, Mazanderani, Modern Greek (1453-), Neapolitan, Northern Frisian, Nupe-Nupe-Tako, Obolo, Papiamento, Persian, Pfaelzisch, Pushto, Rusyn, Sakizaya, Saraiki, Scots, Serbo-Croatian, Shona, Sindhi, Slovenian, South Azerbaijani, Standard Moroccan Tamazight, Swahili (macrolanguage), Swedish, Tagalog, Tajik, Tamil, Tatar, Tsonga, Tswana, Turkmen, Urdu, Venetian, Welsh, Western Frisian, Western Mari, Western Panjabi, Wu Chinese, Yakut, Yoruba, Zeeuws"
