Language,Cluster
Tswana.txt,4
Haitian.txt,4
German.txt,4
Icelandic.txt,4
Gorontalo.txt,4
Goan Konkani.txt,4
Fijian.txt,4
Tajik.txt,4
Standard Moroccan Tamazight.txt,4
Tagalog.txt,4
Swedish.txt,4
Dinka.txt,4
Danish.txt,4
Extremaduran.txt,4
Esperanto.txt,4
French.txt,4
Egyptian Arabic.txt,4
Farefare.txt,4
Corsican.txt,4
Croatian.txt,4
Czech.txt,4
Eastern Mari.txt,4
Aragonese.txt,4
Arabic.txt,4
Albanian.txt,4
Afrikaans.txt,4
