Language,Cluster
Swahili (macrolanguage).txt,4
Zulu.txt,4
Zhuang.txt,4
Xhosa.txt,4
roa-tara.txt,4
zh-yue.txt,4
fiu-vro.txt,4
Bambara.txt,4
simple.txt,4
Zeeuws.txt,4
Betawi.txt,4
Marathi.txt,4
Bengali.txt,4
Afrikaans.txt,4
Amharic.txt,4
Tosk Albanian.txt,4
Upper Sorbian.txt,4
Udmurt.txt,4
Sardinian.txt,4
Sinhala.txt,4
French.txt,4
Gujarati.txt,4
Icelandic.txt,4
Faroese.txt,4
German.txt,4
Fulah.txt,4
Gun.txt,4
Gilaki.txt,4
Tahitian.txt,4
English.txt,4
Tigrinya.txt,4
Dotyali.txt,4
Dhivehi.txt,4
Erzya.txt,4
Ewe.txt,4
Tamil.txt,4
Telugu.txt,4
Cebuano.txt,4
Central Bikol.txt,4
Chechen.txt,4
